CMDLINE /raid/home/q619238/mambaforge/envs/qiro/bin/python3.9 time_test_run1.py
MEM 594.886719 1701186971.1622
MEM 594.886719 1701186971.3334
MEM 594.886719 1701186971.5043
MEM 594.886719 1701186971.6680
MEM 594.886719 1701186971.8410
MEM 594.886719 1701186972.0271
MEM 594.886719 1701186972.1983
MEM 594.886719 1701186972.3651
MEM 594.886719 1701186972.5318
MEM 594.886719 1701186972.7023
MEM 594.886719 1701186972.8732
MEM 594.886719 1701186973.0441
MEM 594.886719 1701186973.2245
MEM 594.886719 1701186973.3952
MEM 594.886719 1701186973.5668
MEM 594.886719 1701186973.7259
MEM 594.886719 1701186973.8967
MEM 594.886719 1701186974.0674
MEM 594.886719 1701186974.2388
MEM 594.886719 1701186974.4101
MEM 594.886719 1701186974.5814
MEM 594.886719 1701186974.7547
MEM 594.886719 1701186974.9266
MEM 594.886719 1701186975.0941
MEM 594.886719 1701186975.2654
MEM 594.890625 1701186975.4364
MEM 594.890625 1701186975.6079
MEM 594.890625 1701186975.7710
MEM 594.890625 1701186975.9416
MEM 594.890625 1701186976.1130
MEM 594.890625 1701186976.2842
MEM 594.890625 1701186976.4553
MEM 594.890625 1701186976.6271
MEM 594.890625 1701186976.8009
MEM 594.890625 1701186976.9724
MEM 594.890625 1701186977.1437
MEM 594.890625 1701186977.3151
MEM 594.890625 1701186977.4863
MEM 594.890625 1701186977.6575
MEM 594.890625 1701186977.8205
MEM 594.890625 1701186977.9928
MEM 594.890625 1701186978.1642
MEM 594.890625 1701186978.3357
MEM 594.890625 1701186978.5072
MEM 594.890625 1701186978.6787
MEM 594.890625 1701186978.8343
MEM 594.890625 1701186979.0056
MEM 594.890625 1701186979.1764
MEM 594.890625 1701186979.3475
MEM 594.890625 1701186979.5196
MEM 594.890625 1701186979.6909
MEM 594.890625 1701186979.8621
MEM 594.890625 1701186980.0332
MEM 594.890625 1701186980.2042
MEM 594.890625 1701186980.3751
MEM 594.890625 1701186980.5381
MEM 594.890625 1701186980.7093
MEM 594.890625 1701186980.8686
MEM 594.890625 1701186981.0414
MEM 594.890625 1701186981.2131
MEM 594.890625 1701186981.3845
MEM 594.890625 1701186981.5478
MEM 594.890625 1701186981.7187
MEM 594.890625 1701186981.8897
MEM 594.890625 1701186982.0602
MEM 594.890625 1701186982.2310
MEM 594.890625 1701186982.4024
MEM 594.890625 1701186982.5730
MEM 594.890625 1701186982.7518
MEM 594.890625 1701186982.9225
MEM 594.890625 1701186983.0933
MEM 594.890625 1701186983.2640
MEM 594.890625 1701186983.4348
MEM 594.890625 1701186983.6053
MEM 594.890625 1701186983.7762
MEM 594.890625 1701186983.9352
MEM 594.890625 1701186984.0895
MEM 594.890625 1701186984.2609
MEM 594.890625 1701186984.4325
MEM 594.890625 1701186984.6035
MEM 594.890625 1701186984.7664
MEM 594.890625 1701186984.9374
MEM 594.890625 1701186985.1081
MEM 594.890625 1701186985.2788
MEM 594.890625 1701186985.4410
MEM 594.890625 1701186985.6115
MEM 594.890625 1701186985.7850
MEM 594.890625 1701186985.9573
MEM 594.890625 1701186986.1136
MEM 594.890625 1701186986.2857
MEM 594.890625 1701186986.4578
MEM 594.890625 1701186986.6303
MEM 594.890625 1701186986.8024
MEM 594.890625 1701186986.9737
MEM 594.890625 1701186987.1404
MEM 594.890625 1701186987.3110
MEM 594.890625 1701186987.4815
MEM 594.890625 1701186987.6518
MEM 594.890625 1701186987.8187
MEM 594.890625 1701186987.9885
MEM 594.890625 1701186988.1587
MEM 594.890625 1701186988.3289
MEM 594.890625 1701186988.4993
MEM 594.890625 1701186988.6692
MEM 594.890625 1701186988.8312
MEM 594.890625 1701186989.0023
MEM 594.890625 1701186989.1733
MEM 594.890625 1701186989.3404
MEM 594.890625 1701186989.5107
MEM 594.890625 1701186989.6809
MEM 594.890625 1701186989.8519
MEM 594.890625 1701186990.0213
MEM 594.890625 1701186990.1792
MEM 594.890625 1701186990.3491
MEM 594.890625 1701186990.5224
MEM 594.890625 1701186990.6933
MEM 595.324219 1701186990.8640
MEM 600.683594 1701186991.0338
MEM 605.820312 1701186991.2049
MEM 611.062500 1701186991.3756
MEM 613.902344 1701186991.5461
MEM 614.027344 1701186991.7163
MEM 614.027344 1701186991.8865
MEM 614.027344 1701186992.0583
MEM 614.027344 1701186992.2289
MEM 614.027344 1701186992.3988
MEM 614.027344 1701186992.5693
MEM 614.027344 1701186992.7346
MEM 614.027344 1701186992.9039
MEM 615.339844 1701186993.0739
MEM 615.339844 1701186993.2439
MEM 615.339844 1701186993.4134
MEM 615.339844 1701186993.5832
MEM 615.339844 1701186993.7541
MEM 615.339844 1701186993.9250
MEM 615.339844 1701186994.0953
MEM 615.339844 1701186994.2652
MEM 615.593750 1701186994.4358
MEM 615.593750 1701186994.6058
MEM 615.593750 1701186994.7757
MEM 615.593750 1701186994.9449
MEM 615.593750 1701186995.1145
MEM 615.593750 1701186995.2849
MEM 615.593750 1701186995.4556
MEM 615.593750 1701186995.6269
MEM 615.593750 1701186995.7812
MEM 615.593750 1701186995.9518
MEM 615.593750 1701186996.1225
MEM 615.593750 1701186996.2930
MEM 615.593750 1701186996.4624
MEM 615.593750 1701186996.6323
MEM 615.593750 1701186996.8050
MEM 615.593750 1701186996.9754
MEM 615.593750 1701186997.1383
MEM 615.593750 1701186997.3053
MEM 615.847656 1701186997.4749
MEM 615.847656 1701186997.6444
MEM 615.847656 1701186997.8141
MEM 615.847656 1701186997.9799
MEM 615.847656 1701186998.1490
MEM 615.847656 1701186998.3198
MEM 615.855469 1701186998.4904
MEM 615.855469 1701186998.6624
MEM 615.855469 1701186998.8334
MEM 615.855469 1701186999.0041
MEM 615.855469 1701186999.1748
MEM 615.855469 1701186999.3450
MEM 615.855469 1701186999.5147
MEM 615.855469 1701186999.6851
