CMDLINE /raid/home/q619238/mambaforge/envs/qiro/bin/python3.9 time_test_run.py
MEM 541.988281 1701174975.7353
MEM 542.503906 1701174975.8689
MEM 542.503906 1701174976.0024
MEM 542.761719 1701174976.1362
MEM 543.019531 1701174976.2701
MEM 543.277344 1701174976.4028
MEM 543.535156 1701174976.5392
MEM 543.769531 1701174976.6735
MEM 544.015625 1701174976.8076
MEM 544.273438 1701174976.9428
MEM 544.527344 1701174977.0766
MEM 544.785156 1701174977.2098
MEM 545.042969 1701174977.3428
MEM 545.300781 1701174977.4760
MEM 545.558594 1701174977.6097
MEM 545.558594 1701174977.7436
MEM 545.558594 1701174977.8773
MEM 546.035156 1701174978.0123
MEM 546.074219 1701174978.1472
MEM 546.332031 1701174978.2814
MEM 546.582031 1701174978.4156
MEM 546.839844 1701174978.5498
MEM 547.089844 1701174978.6838
MEM 547.347656 1701174978.8173
MEM 547.601562 1701174978.9523
MEM 547.859375 1701174979.0861
MEM 548.117188 1701174979.2205
MEM 548.375000 1701174979.3542
MEM 548.632812 1701174979.4874
MEM 548.890625 1701174979.6225
MEM 549.148438 1701174979.7564
MEM 549.406250 1701174979.8891
MEM 549.660156 1701174980.0224
MEM 550.023438 1701174980.1555
MEM 550.023438 1701174980.2886
MEM 550.023438 1701174980.4216
MEM 550.378906 1701174980.5547
MEM 550.636719 1701174980.6875
MEM 550.894531 1701174980.8204
MEM 550.894531 1701174980.9536
MEM 551.152344 1701174981.0873
MEM 551.410156 1701174981.2225
MEM 551.667969 1701174981.3563
MEM 551.921875 1701174981.4896
MEM 552.179688 1701174981.6229
MEM 552.437500 1701174981.7570
MEM 552.695312 1701174981.8902
MEM 555.742188 1701174982.0229
MEM 560.546875 1701174982.1558
MEM 565.960938 1701174982.2883
MEM 571.375000 1701174982.4214
MEM 576.789062 1701174982.5545
MEM 582.203125 1701174982.6874
MEM 585.402344 1701174982.8222
MEM 585.402344 1701174982.9565
MEM 585.402344 1701174983.0901
MEM 585.402344 1701174983.2237
MEM 585.402344 1701174983.3573
MEM 585.402344 1701174983.4909
MEM 585.402344 1701174983.6241
MEM 585.402344 1701174983.7576
MEM 585.402344 1701174983.8908
MEM 585.402344 1701174984.0248
MEM 586.273438 1701174984.1582
MEM 586.273438 1701174984.2930
MEM 586.273438 1701174984.4267
MEM 586.730469 1701174984.5599
MEM 589.328125 1701174984.6919
MEM 589.328125 1701174984.8246
MEM 589.328125 1701174984.9572
MEM 589.328125 1701174985.0901
MEM 589.328125 1701174985.2231
MEM 589.328125 1701174985.3557
MEM 589.328125 1701174985.4893
MEM 589.328125 1701174985.6227
MEM 592.378906 1701174985.7562
MEM 592.378906 1701174985.8909
MEM 592.378906 1701174986.0240
MEM 592.378906 1701174986.1568
MEM 592.378906 1701174986.2897
MEM 592.378906 1701174986.4228
MEM 592.378906 1701174986.5574
MEM 592.378906 1701174986.6905
MEM 592.378906 1701174986.8231
MEM 592.632812 1701174986.9578
MEM 592.632812 1701174987.0902
MEM 592.632812 1701174987.2234
MEM 592.632812 1701174987.3566
MEM 592.632812 1701174987.4918
MEM 592.632812 1701174987.6252
MEM 592.632812 1701174987.7586
MEM 592.632812 1701174987.8923
MEM 592.632812 1701174988.0258
MEM 592.632812 1701174988.1592
MEM 592.632812 1701174988.2920
MEM 592.632812 1701174988.4252
MEM 592.632812 1701174988.5586
MEM 592.632812 1701174988.6917
