CMDLINE /Users/Q642074/miniconda3/envs/qiro/bin/python time_test_run.py
MEM 453.390625 1701179005.5231
MEM 453.390625 1701179005.6311
MEM 453.390625 1701179005.7392
MEM 453.390625 1701179005.8472
MEM 453.390625 1701179005.9550
MEM 453.390625 1701179006.0629
MEM 453.390625 1701179006.1658
MEM 453.390625 1701179006.2738
MEM 453.390625 1701179006.3817
MEM 453.390625 1701179006.4895
MEM 456.937500 1701179006.5973
MEM 462.609375 1701179006.7053
MEM 462.640625 1701179006.8112
MEM 462.640625 1701179006.9191
MEM 462.640625 1701179007.0270
MEM 462.656250 1701179007.1349
MEM 458.656250 1701179007.2428
MEM 458.656250 1701179007.3508
MEM 458.656250 1701179007.4586
MEM 458.656250 1701179007.5666
MEM 458.656250 1701179007.6747
MEM 458.656250 1701179007.7826
MEM 458.656250 1701179007.8905
MEM 458.656250 1701179007.9984
MEM 458.656250 1701179008.1063
MEM 458.656250 1701179008.2142
MEM 458.656250 1701179008.3221
MEM 458.656250 1701179008.4300
MEM 458.671875 1701179008.5378
MEM 458.703125 1701179008.6457
MEM 458.703125 1701179008.7538
MEM 458.703125 1701179008.8618
MEM 459.187500 1701179008.9698
MEM 459.468750 1701179009.0751
MEM 459.468750 1701179009.1831
MEM 459.468750 1701179009.2909
MEM 459.468750 1701179009.3989
MEM 459.484375 1701179009.5067
MEM 460.500000 1701179009.6145
MEM 459.515625 1701179009.7225
MEM 459.515625 1701179009.8260
MEM 459.515625 1701179009.9340
MEM 459.515625 1701179010.0419
MEM 458.515625 1701179010.1500
MEM 458.515625 1701179010.2580
MEM 458.515625 1701179010.3659
MEM 457.687500 1701179010.4772
MEM 457.796875 1701179010.5854
MEM 457.796875 1701179010.6885
MEM 457.796875 1701179010.7965
MEM 458.515625 1701179010.9044
MEM 458.515625 1701179011.0128
MEM 458.515625 1701179011.1207
MEM 457.515625 1701179011.2286
MEM 457.515625 1701179011.3365
MEM 457.515625 1701179011.4438
MEM 457.515625 1701179011.5517
MEM 457.515625 1701179011.6597
MEM 457.515625 1701179011.7677
MEM 457.515625 1701179011.8725
MEM 457.515625 1701179011.9803
MEM 457.515625 1701179012.0882
MEM 457.515625 1701179012.1961
MEM 457.515625 1701179012.3020
MEM 457.515625 1701179012.4099
MEM 457.515625 1701179012.5178
MEM 457.515625 1701179012.6256
MEM 457.515625 1701179012.7336
MEM 462.062500 1701179012.8417
MEM 463.718750 1701179012.9495
MEM 469.781250 1701179013.0575
MEM 467.656250 1701179013.1605
MEM 468.328125 1701179013.2684
MEM 468.328125 1701179013.3765
MEM 469.640625 1701179013.4845
MEM 469.640625 1701179013.5924
MEM 468.968750 1701179013.7004
MEM 468.968750 1701179013.8082
MEM 471.890625 1701179013.9162
MEM 471.890625 1701179014.0242
MEM 468.968750 1701179014.1322
MEM 468.968750 1701179014.2400
MEM 470.281250 1701179014.3479
MEM 473.765625 1701179014.4559
MEM 472.781250 1701179014.5638
MEM 472.781250 1701179014.6717
MEM 472.781250 1701179014.7798
MEM 472.781250 1701179014.8880
MEM 471.781250 1701179014.9960
MEM 471.781250 1701179015.1039
MEM 471.781250 1701179015.2119
