CMDLINE python RQAOA_run_recalculations_v2.py
MEM 2323.320312 1706516123.2925
MEM 2323.320312 1706516123.4323
MEM 2323.320312 1706516123.5719
MEM 2323.320312 1706516123.7126
MEM 2323.320312 1706516123.8518
MEM 2323.835938 1706516123.9916
MEM 2323.835938 1706516124.1310
MEM 2323.835938 1706516124.2708
MEM 2324.093750 1706516124.4110
MEM 2324.609375 1706516124.5502
MEM 2324.867188 1706516124.6897
MEM 2324.867188 1706516124.8303
MEM 2324.867188 1706516124.9705
MEM 2324.867188 1706516125.1099
MEM 2325.117188 1706516125.2507
MEM 2325.375000 1706516125.3901
MEM 2325.890625 1706516125.5302
MEM 2326.148438 1706516125.6697
MEM 2326.386719 1706516125.8095
MEM 2326.644531 1706516125.9504
MEM 2327.160156 1706516126.0908
MEM 2327.160156 1706516126.2308
MEM 2327.414062 1706516126.3709
MEM 2327.414062 1706516126.5105
MEM 2327.671875 1706516126.6500
MEM 2327.917969 1706516126.7911
MEM 2327.917969 1706516126.9312
MEM 2328.175781 1706516127.0713
MEM 2328.433594 1706516127.2111
MEM 2328.691406 1706516127.3503
MEM 2328.691406 1706516127.4905
MEM 2328.949219 1706516127.6306
MEM 2329.207031 1706516127.7721
MEM 2329.207031 1706516127.9131
MEM 2329.207031 1706516128.0543
MEM 2329.464844 1706516128.1937
MEM 2329.464844 1706516128.3343
MEM 2329.464844 1706516128.4741
MEM 2329.722656 1706516128.6141
MEM 2330.238281 1706516128.7543
MEM 2330.496094 1706516128.8950
MEM 2330.496094 1706516129.0352
MEM 2330.753906 1706516129.1752
MEM 2331.269531 1706516129.3159
MEM 2331.527344 1706516129.4565
MEM 2331.527344 1706516129.5970
MEM 2332.042969 1706516129.7375
MEM 2332.042969 1706516129.8770
MEM 2332.558594 1706516130.0170
MEM 2332.558594 1706516130.1566
MEM 2332.816406 1706516130.2954
MEM 2332.816406 1706516130.4342
MEM 2332.816406 1706516130.5741
MEM 2333.074219 1706516130.7128
MEM 2333.332031 1706516130.8520
MEM 2333.332031 1706516130.9898
MEM 2333.332031 1706516131.1288
MEM 2333.332031 1706516131.2667
MEM 2333.835938 1706516131.4040
MEM 2333.847656 1706516131.5416
MEM 2334.003906 1706516131.6807
MEM 2334.523438 1706516131.8206
MEM 2334.882812 1706516131.9605
MEM 2335.039062 1706516132.0999
MEM 2335.300781 1706516132.2376
MEM 2335.585938 1706516132.3775
MEM 2335.664062 1706516132.5177
MEM 2335.679688 1706516132.6584
MEM 2335.882812 1706516132.7984
MEM 2336.144531 1706516132.9388
MEM 2336.625000 1706516133.0797
MEM 2336.687500 1706516133.2202
MEM 2337.066406 1706516133.3606
MEM 2337.214844 1706516133.4984
MEM 2337.402344 1706516133.6381
MEM 2337.605469 1706516133.7764
MEM 2337.742188 1706516133.9207
MEM 2337.816406 1706516134.0592
MEM 2337.996094 1706516134.1971
MEM 2338.234375 1706516134.3348
MEM 2338.234375 1706516134.4729
MEM 2338.378906 1706516134.6108
